sale_id,sale_date,product_id,sales_dept_id,customer_id,sales_type,sale_amount,payment_status
S20250406,2025-04-05,P020,D04,C034,정상판매,4092915,결제완료
S20250315,2025-06-20,P020,D05,C028,프로모션,4074000,결제완료
S20250487,2025-05-19,P018,D05,C040,정상판매,3483270,결제완료
S20250110,2025-05-28,P020,D01,C007,정상판매,3455625,결제완료
S20250065,2025-04-05,P019,D03,C012,정상판매,3307800,결제완료
S20250046,2025-06-14,P004,D07,C046,정상판매,3043040,결제완료
S20250412,2025-05-30,P020,D03,C011,정상판매,2958500,결제완료
S20250386,2025-04-22,P025,D07,C016,정상판매,2910420,결제완료
S20250297,2025-06-16,P004,D03,C007,정상판매,2852850,결제완료
S20250357,2025-05-20,P019,D05,C034,정상판매,2771400,미결제
S20250479,2025-05-11,P028,D04,C032,정상판매,2696400,결제완료
S20250302,2025-05-07,P014,D01,C040,정상판매,2615160,미결제
S20250282,2025-04-28,P004,D07,C012,프로모션,2471040,결제완료
S20250106,2025-06-11,P004,D04,C043,병원입찰,2466464,결제완료
S20250486,2025-06-10,P010,D02,C035,정상판매,2465255,결제완료
S20250270,2025-06-09,P029,D04,C023,정상판매,2360000,결제완료
S20250061,2025-05-27,P014,D04,C033,정상판매,2256800,결제완료
S20250072,2025-05-16,P017,D03,C020,정상판매,2154661,결제완료
S20250156,2025-05-16,P005,D03,C012,정상판매,2141760,결제완료
S20250334,2025-04-05,P029,D05,C033,프로모션,2095680,결제완료
S20250124,2025-06-08,P018,D04,C048,프로모션,2091600,결제완료
S20250382,2025-04-26,P009,D01,C010,정상판매,1922800,결제완료
S20250353,2025-04-11,P027,D01,C001,정상판매,1895200,결제완료
S20250088,2025-04-06,P004,D06,C024,정상판매,1887600,미결제
S20250322,2025-05-08,P011,D02,C028,정상판매,1883280,결제완료
S20250342,2025-04-07,P027,D03,C028,정상판매,1856192,결제완료
S20250060,2025-05-13,P003,D07,C034,병원입찰,1811296,결제완료
S20250344,2025-06-29,P027,D03,C034,정상판매,1802648,결제완료
S20250402,2025-05-21,P025,D03,C047,정상판매,1794000,결제완료
S20250434,2025-04-04,P004,D07,C038,정상판매,1720004,결제완료
S20250007,2025-04-05,P007,D07,C007,정상판매,1701700,결제완료
