"product_id","product_name","transaction_count","total_quantity","total_sales_amount","avg_sales_amount"
P004,리피다운정 20mg,9,656,17145700,1905077.78
P020,인펙트주,4,328,14581040,3645260.00
P027,글루코밸런스정,8,527,9374064,1171758.00
P025,뉴로패치,5,308,8227560,1645512.00
P007,가스트론캡슐,8,590,7877441,984680.13
P019,마크로신정,3,263,7573670,2524556.67
P002,카디오프릴정 10mg,7,491,7506408,1072344.00
P001,카디오프릴정 5mg,7,565,6733000,961857.14
P012,알레르컷정,8,594,6586480,823310.00
P029,대사케어정,5,311,6566700,1313340.00
P014,몬테케어정,6,271,6460400,1076733.33
P015,브론코캡슐,7,381,6390164,912880.57
P011,브레스온흡입액,4,192,6175176,1543794.00
P023,조인트겔,6,401,5919154,986525.67
P003,리피다운정 10mg,4,292,5606800,1401700.00
P018,퀴놀론정,2,197,5574870,2787435.00
P005,베타가드정,5,278,5166912,1033382.40
P010,프로바이오캡슐,4,184,3960320,990080.00
P009,울세이프정,4,225,3776080,944020.00
P028,인슐로펜주,2,89,3753560,1876780.00
P026,메트로민정,5,283,3567300,713460.00
P017,아목시케어정,2,135,3024861,1512430.50
P030,글리세이프정,3,126,2576529,858843.00
P008,모티리움정,6,279,2343171,390528.50
P022,이부케어정,4,236,2313168,578292.00
P021,페인리스정,4,194,1572072,393018.00
P024,아세트정,2,189,1292760,646380.00
P006,가스트론정,2,145,1226960,613480.00
P016,세파클린캡슐,2,40,1009026,504513.00
P013,코프릴시럽,2,67,498569,249284.50
