"sale_id","sale_date","product_name","customer_name","customer_type","customer_region","sales_type","quantity","sale_amount","payment_status"
S20250406,2025-04-05,인펙트주,대구약국34,약국,대구,정상판매,87,4092915,결제완료
S20250315,2025-06-20,인펙트주,인천의약품유통28,의약품도매상,인천,프로모션,105,4074000,결제완료
S20250487,2025-05-19,퀴놀론정,울산의약품유통40,의약품도매상,울산,정상판매,114,3483270,결제완료
S20250110,2025-05-28,인펙트주,충남의약품유통07,의약품도매상,충남,정상판매,75,3455625,결제완료
S20250065,2025-04-05,마크로신정,서울의약품유통12,의약품도매상,서울,정상판매,111,3307800,결제완료
S20250046,2025-06-14,리피다운정 20mg,광주의약품유통46,의약품도매상,광주,정상판매,112,3043040,결제완료
S20250412,2025-05-30,인펙트주,대전의원11,의원,대전,정상판매,61,2958500,결제완료
S20250386,2025-04-22,뉴로패치,서울병원16,병원,서울,정상판매,111,2910420,결제완료
S20250297,2025-06-16,리피다운정 20mg,충남의약품유통07,의약품도매상,충남,정상판매,105,2852850,결제완료
S20250357,2025-05-20,마크로신정,대구약국34,약국,대구,정상판매,93,2771400,미결제
S20250479,2025-05-11,인슐로펜주,전남의약품유통32,의약품도매상,전남,정상판매,63,2696400,결제완료
S20250302,2025-05-07,몬테케어정,울산의약품유통40,의약품도매상,울산,정상판매,111,2615160,미결제
S20250282,2025-04-28,리피다운정 20mg,서울의약품유통12,의약품도매상,서울,프로모션,108,2471040,결제완료
S20250106,2025-06-11,리피다운정 20mg,인천의원43,의원,인천,병원입찰,98,2466464,결제완료
S20250486,2025-06-10,프로바이오캡슐,충북병원35,병원,충북,정상판매,115,2465255,결제완료
S20250270,2025-06-09,대사케어정,전북메디컬센터23,종합병원,전북,정상판매,100,2360000,결제완료
S20250061,2025-05-27,몬테케어정,경기의약품유통33,의약품도매상,경기,정상판매,91,2256800,결제완료
S20250072,2025-05-16,아목시케어정,전남의원20,의원,전남,정상판매,97,2154661,결제완료
S20250156,2025-05-16,베타가드정,서울의약품유통12,의약품도매상,서울,정상판매,115,2141760,결제완료
S20250334,2025-04-05,대사케어정,경기의약품유통33,의약품도매상,경기,프로모션,111,2095680,결제완료
S20250124,2025-06-08,퀴놀론정,서울약국48,약국,서울,프로모션,83,2091600,결제완료
S20250382,2025-04-26,울세이프정,전남병원10,병원,전남,정상판매,115,1922800,결제완료
S20250353,2025-04-11,글루코밸런스정,경기의원01,의원,경기,정상판매,103,1895200,결제완료
S20250088,2025-04-06,리피다운정 20mg,충북약국24,약국,충북,정상판매,66,1887600,미결제
S20250322,2025-05-08,브레스온흡입액,인천의약품유통28,의약품도매상,인천,정상판매,56,1883280,결제완료
S20250342,2025-04-07,글루코밸런스정,인천의약품유통28,의약품도매상,인천,정상판매,104,1856192,결제완료
S20250060,2025-05-13,리피다운정 10mg,대구약국34,약국,대구,병원입찰,92,1811296,결제완료
S20250344,2025-06-29,글루코밸런스정,대구약국34,약국,대구,정상판매,101,1802648,결제완료
S20250402,2025-05-21,뉴로패치,강원메디컬센터47,종합병원,강원,정상판매,65,1794000,결제완료
S20250434,2025-04-04,리피다운정 20mg,광주병원38,병원,광주,정상판매,62,1720004,결제완료
S20250007,2025-04-05,가스트론캡슐,충남의약품유통07,의약품도매상,충남,정상판매,119,1701700,결제완료
S20250086,2025-05-30,리피다운정 10mg,경남의원02,의원,경남,정상판매,78,1619124,결제완료
S20250085,2025-04-03,브론코캡슐,울산약국42,약국,울산,프로모션,108,1615680,결제완료
S20250332,2025-06-07,조인트겔,광주약국06,약국,광주,정상판매,105,1609230,결제완료
S20250096,2025-05-15,브레스온흡입액,대전병원03,병원,대전,프로모션,53,1594770,결제완료
S20250276,2025-06-02,글리세이프정,광주의원05,의원,광주,정상판매,75,1552500,결제완료
S20250202,2025-05-16,조인트겔,경남병원37,병원,경남,프로모션,113,1517590,결제완료
S20250304,2025-05-26,브레스온흡입액,경기의원01,의원,경기,병원입찰,48,1495296,미결제
S20250034,2025-04-23,뉴로패치,대구약국34,약국,대구,정상판매,57,1494540,결제완료
S20250491,2025-06-13,마크로신정,전북의원13,의원,전북,프로모션,59,1494470,결제완료
S20250147,2025-04-28,리피다운정 10mg,충북병원30,병원,충북,프로모션,82,1491580,결제완료
S20250244,2025-05-19,조인트겔,부산병원17,병원,부산,정상판매,94,1485200,결제완료
S20250253,2025-06-12,가스트론캡슐,전남의원20,의원,전남,정상판매,105,1456455,부분결제
S20250349,2025-04-30,메트로민정,전북의원13,의원,전북,정상판매,110,1452000,결제완료
